jobId,period,skill,demand
java-backend-engineer,2024,Java,78
java-backend-engineer,2025,Java,82
java-backend-engineer,2026,Java,85
java-backend-engineer,2024,Spring Boot,74
java-backend-engineer,2025,Spring Boot,79
java-backend-engineer,2026,Spring Boot,83
java-backend-engineer,2024,Microservices,72
java-backend-engineer,2025,Microservices,80
java-backend-engineer,2026,Microservices,87
java-backend-engineer,2024,Redis,68
java-backend-engineer,2025,Redis,73
java-backend-engineer,2026,Redis,77
ai-agent-engineer,2024,LLM,72
ai-agent-engineer,2025,LLM,86
ai-agent-engineer,2026,LLM,94
ai-agent-engineer,2024,RAG,70
ai-agent-engineer,2025,RAG,84
ai-agent-engineer,2026,RAG,92
ai-agent-engineer,2024,Vector Search,66
ai-agent-engineer,2025,Vector Search,79
ai-agent-engineer,2026,Vector Search,89
ai-agent-engineer,2024,Evaluation,63
ai-agent-engineer,2025,Evaluation,75
ai-agent-engineer,2026,Evaluation,86
data-governance-engineer,2024,SQL,75
data-governance-engineer,2025,SQL,78
data-governance-engineer,2026,SQL,81
data-governance-engineer,2024,Data Warehouse,70
data-governance-engineer,2025,Data Warehouse,77
data-governance-engineer,2026,Data Warehouse,82
data-governance-engineer,2024,Data Quality,69
data-governance-engineer,2025,Data Quality,80
data-governance-engineer,2026,Data Quality,88
data-governance-engineer,2024,Metadata,65
data-governance-engineer,2025,Metadata,74
data-governance-engineer,2026,Metadata,84
cloud-native-sre,2024,Linux,74
cloud-native-sre,2025,Linux,77
cloud-native-sre,2026,Linux,79
cloud-native-sre,2024,Docker,72
cloud-native-sre,2025,Docker,78
cloud-native-sre,2026,Docker,82
cloud-native-sre,2024,Kubernetes,76
cloud-native-sre,2025,Kubernetes,85
cloud-native-sre,2026,Kubernetes,91
cloud-native-sre,2024,Observability,68
cloud-native-sre,2025,Observability,79
cloud-native-sre,2026,Observability,88
