id,from,to,type,weight,confidence,first_seen,last_seen,evidence
skill:c->belongs_to->cap:编程语言,skill:c,cap:编程语言,belongs_to,51272,1.0,2025-01,2026-07,C++
skill:design->belongs_to->cap:设计体验,skill:design,cap:设计体验,belongs_to,4192,1.0,2024-08,2026-07,Design
skill:marketing->belongs_to->cap:产品运营,skill:marketing,cap:产品运营,belongs_to,3534,1.0,2024-12,2026-07,Marketing
skill:product->belongs_to->cap:产品运营,skill:product,cap:产品运营,belongs_to,3039,1.0,2024-08,2026-07,Product
skill:security->belongs_to->cap:安全合规,skill:security,cap:安全合规,belongs_to,1254,1.0,2024-08,2026-07,Security
skill:llm->belongs_to->cap:人工智能,skill:llm,cap:人工智能,belongs_to,922,1.0,2025-03,2026-07,LLM
skill:testing->belongs_to->cap:质量保障,skill:testing,cap:质量保障,belongs_to,723,1.0,2025-03,2026-07,Testing
skill:go->belongs_to->cap:编程语言,skill:go,cap:编程语言,belongs_to,617,1.0,2024-08,2026-07,Go
skill:unity->belongs_to->cap:其他能力,skill:unity,cap:其他能力,belongs_to,516,1.0,2024-08,2026-07,Unity
skill:python->belongs_to->cap:编程语言,skill:python,cap:编程语言,belongs_to,439,1.0,2025-05,2026-07,Python
skill:machine-learning->belongs_to->cap:人工智能,skill:machine-learning,cap:人工智能,belongs_to,331,1.0,2024-09,2026-07,Machine Learning
skill:sql->belongs_to->cap:数据技术,skill:sql,cap:数据技术,belongs_to,290,1.0,2024-12,2026-07,SQL
skill:java->belongs_to->cap:编程语言,skill:java,cap:编程语言,belongs_to,284,1.0,2024-09,2026-07,Java
skill:microservices->belongs_to->cap:系统架构,skill:microservices,cap:系统架构,belongs_to,268,1.0,2025-09,2026-07,Microservices
skill:ios->belongs_to->cap:其他能力,skill:ios,cap:其他能力,belongs_to,256,1.0,2025-09,2026-07,iOS
skill:rag->belongs_to->cap:人工智能,skill:rag,cap:人工智能,belongs_to,237,1.0,2024-08,2026-07,RAG
skill:big-data->belongs_to->cap:数据工程,skill:big-data,cap:数据工程,belongs_to,220,1.0,2024-09,2026-07,Big Data
skill:deep-learning->belongs_to->cap:人工智能,skill:deep-learning,cap:人工智能,belongs_to,214,1.0,2024-09,2026-07,Deep Learning
skill:excel->belongs_to->cap:办公分析,skill:excel,cap:办公分析,belongs_to,202,1.0,2024-08,2026-07,Excel
skill:linux->belongs_to->cap:基础设施,skill:linux,cap:基础设施,belongs_to,161,1.0,2025-03,2026-07,Linux
skill:prompt-engineering->belongs_to->cap:其他能力,skill:prompt-engineering,cap:其他能力,belongs_to,145,1.0,2025-09,2026-07,Prompt Engineering
skill:nlp->belongs_to->cap:人工智能,skill:nlp,cap:人工智能,belongs_to,108,1.0,2024-09,2026-07,NLP
skill:docker->belongs_to->cap:云原生,skill:docker,cap:云原生,belongs_to,96,1.0,2025-09,2026-07,Docker
skill:kubernetes->belongs_to->cap:云原生,skill:kubernetes,cap:云原生,belongs_to,91,1.0,2025-09,2026-07,Kubernetes
skill:devops->belongs_to->cap:工程效能,skill:devops,cap:工程效能,belongs_to,70,1.0,2025-09,2026-07,DevOps
skill:redis->belongs_to->cap:数据存储,skill:redis,cap:数据存储,belongs_to,61,1.0,2025-03,2026-07,Redis
skill:javascript->belongs_to->cap:编程语言,skill:javascript,cap:编程语言,belongs_to,55,1.0,2025-03,2026-07,JavaScript
skill:android->belongs_to->cap:其他能力,skill:android,cap:其他能力,belongs_to,51,1.0,2026-04,2026-07,Android
skill:kafka->belongs_to->cap:中间件,skill:kafka,cap:中间件,belongs_to,42,1.0,2025-09,2026-07,Kafka
skill:react->belongs_to->cap:前端开发,skill:react,cap:前端开发,belongs_to,40,1.0,2025-11,2026-07,React
skill:vector-search->belongs_to->cap:人工智能,skill:vector-search,cap:人工智能,belongs_to,31,1.0,2025-12,2026-07,Vector Search
skill:data-warehouse->belongs_to->cap:数据工程,skill:data-warehouse,cap:数据工程,belongs_to,24,1.0,2025-09,2026-07,Data Warehouse
skill:vue->belongs_to->cap:前端开发,skill:vue,cap:前端开发,belongs_to,22,1.0,2025-09,2026-07,Vue
cap:编程语言->part_of->cap:工程基础能力,cap:编程语言,cap:工程基础能力,part_of,52667,1.0,2024-08,2026-07,编程语言
